filename,filepath,model_logit,raw_score,aesthetic_score,rank,category
317.jpg,exciting/317.jpg,5.668482,5.6685,10.0,1,moderate
83.jpg,exciting/83.jpg,5.648677,5.6487,9.886,2,moderate
146.jpg,exciting/146.jpg,5.648382,5.6484,9.869,3,moderate
37.jpg,exciting/37.jpg,5.641237,5.6412,9.4577,4,moderate
370.jpg,exciting/370.jpg,5.629232,5.6292,8.7665,5,moderate
99.jpg,exciting/99.jpg,5.625079,5.6251,8.5274,6,moderate
124.jpg,exciting/124.jpg,5.604228,5.6042,7.3271,7,moderate
151.jpg,exciting/151.jpg,5.595382,5.5954,6.8178,8,moderate
38.jpg,exciting/38.jpg,5.592958,5.593,6.6782,9,moderate
149.jpg,exciting/149.jpg,5.586788,5.5868,6.323,10,moderate
56.jpg,exciting/56.jpg,5.584871,5.5849,6.2127,11,moderate
365.jpg,exciting/365.jpg,5.579041,5.579,5.877,12,moderate
95.jpg,exciting/95.jpg,5.564476,5.5645,5.0385,13,moderate
17.jpg,exciting/17.jpg,5.537083,5.5371,3.4615,14,moderate
104.jpg,exciting/104.jpg,5.533293,5.5333,3.2433,15,moderate
52.jpg,exciting/52.jpg,5.526635,5.5266,2.86,16,moderate
174.jpg,exciting/174.jpg,5.508041,5.508,1.7896,17,moderate
311.jpg,exciting/311.jpg,5.495872,5.4959,1.089,18,moderate
135.jpg,exciting/135.jpg,5.480411,5.4804,1.0,19,moderate
